 "topic" , "uri" , "source" , "lectureNum" ,
 "Cole Howard" , "http://dbpedia.org/resource/Cole_Howard" , "SLIDES" , "Lecture 11" ,
 "AI" , "http://dbpedia.org/resource/Artificial_intelligence" , "SLIDES" , "Lecture 11" ,
 "spaCy" , "http://dbpedia.org/resource/SpaCy" , "LAB" , "Lecture 11" ,
 "covariance" , "http://dbpedia.org/resource/Covariance" , "SLIDES" , "Lecture 11" ,
 "Sir George Williams" , "http://dbpedia.org/resource/Concordia_University" , "LAB" , "Lecture 11" ,
 "Manning" , "http://dbpedia.org/resource/Manning_Publications" , "SLIDES" , "Lecture 11" ,
 "tf" , "http://dbpedia.org/resource/Tf–idf" , "LAB" , "Lecture 11" ,
 "Neuron" , "http://dbpedia.org/resource/Neuron" , "SLIDES" , "Lecture 11" ,
 "Convolutional Neural Networks" , "http://dbpedia.org/resource/Convolutional_neural_network" , "SLIDES" , "Lecture 11" ,
 "Downtown" , "http://dbpedia.org/resource/Downtown_Montreal" , "LAB" , "Lecture 11" ,
 "Gensim" , "http://dbpedia.org/resource/Gensim" , "LAB" , "Lecture 11" ,
 "Loyola College" , "http://dbpedia.org/resource/Loyola_University_Maryland" , "LAB" , "Lecture 11" ,
 "Max" , "http://dbpedia.org/resource/Max_Fleischer" , "SLIDES" , "Lecture 11" ,
 "Rasa" , "http://dbpedia.org/resource/Saint_Jonas'_Festival" , "LAB" , "Lecture 11" ,
 "Keras" , "http://dbpedia.org/resource/Keras" , "SLIDES" , "Lecture 11" ,
 "Concordia University" , "http://dbpedia.org/resource/Main_Page" , "LAB" , "Lecture 11" ,
 "Canada" , "http://dbpedia.org/resource/Canada" , "LAB" , "Lecture 11" ,
 "XOR" , "http://dbpedia.org/resource/Exclusive_or" , "LAB" , "Lecture 11" ,
 "Python" , "http://dbpedia.org/resource/Monty_Python" , "LAB" , "Lecture 11" ,
 "Covariate" , "http://dbpedia.org/resource/Dependent_and_independent_variables" , "SLIDES" , "Lecture 11" ,
 "Grayscale" , "http://dbpedia.org/resource/Grayscale" , "SLIDES" , "Lecture 11" ,
 "POS" , "http://dbpedia.org/resource/Brown_Corpus" , "LAB" , "Lecture 11" ,
 "Intelligent" , "http://dbpedia.org/resource/Artificial_intelligence" , "WORKSHEET" , "Lecture 11" ,
 "Charles" , "http://dbpedia.org/resource/Charles_II_of_England" , "SLIDES" , "Lecture 11" ,
 "Perceptron" , "http://dbpedia.org/resource/Perceptron" , "SLIDES" , "Lecture 11" ,
 "CNN" , "http://dbpedia.org/resource/Convolutional_neural_network" , "WORKSHEET" , "Lecture 11" ,
 "Quebec" , "http://dbpedia.org/resource/Quebec" , "LAB" , "Lecture 11" ,
 "TensorFlow" , "http://dbpedia.org/resource/TensorFlow" , "LAB" , "Lecture 11" ,
 "k" , "http://dbpedia.org/resource/K-means_clustering" , "LAB" , "Lecture 11" ,
 "Montreal" , "http://dbpedia.org/resource/Montreal" , "LAB" , "Lecture 11" ,
 "McGill" , "http://dbpedia.org/resource/McGill_University" , "LAB" , "Lecture 11" ,
 "Keras" , "http://dbpedia.org/resource/Keras" , "LAB" , "Lecture 11" ,
 "scikit learn" , "http://dbpedia.org/resource/Scikit-learn" , "LAB" , "Lecture 11" ,
 "RGB" , "http://dbpedia.org/resource/RGB_color_model" , "SLIDES" , "Lecture 11" ,
 "Convolution" , "http://dbpedia.org/resource/Convolution" , "SLIDES" , "Lecture 11" ,
 "Augustus" , "http://dbpedia.org/resource/Augustus" , "SLIDES" , "Lecture 11" ,
 "Perceptron" , "http://dbpedia.org/resource/Perceptron" , "LAB" , "Lecture 11" ,
 "Word Vectors" , "http://dbpedia.org/resource/Word_embedding" , "SLIDES" , "Lecture 11" ,
 "Notre Dame de - Grâce" , "http://dbpedia.org/resource/Our_Lady_of_Graces" , "LAB" , "Lecture 11" ,
 "Jeremy Brett" , "http://dbpedia.org/resource/Jeremy_Brett" , "SLIDES" , "Lecture 11" ,
 "Arthur Conan Doyle" , "http://dbpedia.org/resource/Arthur_Conan_Doyle" , "SLIDES" , "Lecture 11" ,
 "CNN" , "http://dbpedia.org/resource/Convolutional_neural_network" , "SLIDES" , "Lecture 11" ,
 "Milverton" , "http://dbpedia.org/resource/Leamington_Spa" , "SLIDES" , "Lecture 11" ,
 "Quebec" , "http://dbpedia.org/resource/Quebec" , "SLIDES" , "Lecture 8" ,
 "A.L.I.C.E." , "http://dbpedia.org/resource/Artificial_Linguistic_Internet_Computer_Entity" , "SLIDES" , "Lecture 8" ,
 "Westworld" , "http://dbpedia.org/resource/Westworld" , "SLIDES" , "Lecture 8" ,
 "Disney" , "http://dbpedia.org/resource/The_Walt_Disney_Company" , "SLIDES" , "Lecture 8" ,
 "Stuart Russell" , "http://dbpedia.org/resource/Stuart_J._Russell" , "SLIDES" , "Lecture 8" ,
 "Manning" , "http://dbpedia.org/resource/Manning_Publications" , "SLIDES" , "Lecture 8" ,
 "scikit learn" , "http://dbpedia.org/resource/Scikit-learn" , "LAB" , "Lecture 8" ,
